etuus;vuosi;kuukausi;paiva;alue;saajat_kaikki
Sairauspäiväraha;2019;3;2019-03-01;Pohjanmaa;1722
Sairauspäiväraha;2019;3;2019-03-01;Pohjois-Karjala;1648
Sairauspäiväraha;2019;3;2019-03-01;Pohjois-Pohjanmaa;4738
Sairauspäiväraha;2019;3;2019-03-01;Pohjois-Savo;2981
Sairauspäiväraha;2019;3;2019-03-01;Päijät-Häme;2063
Sairauspäiväraha;2019;3;2019-03-01;Satakunta;2483
Sairauspäiväraha;2019;3;2019-03-01;Uusimaa;13596
Sairauspäiväraha;2019;3;2019-03-01;Varsinais-Suomi;5524
Sairauspäiväraha;2019;4;2019-04-01;Etelä-Karjala;1362
Sairauspäiväraha;2019;4;2019-04-01;Etelä-Pohjanmaa;2003
Sairauspäiväraha;2019;4;2019-04-01;Etelä-Savo;1342
Sairauspäiväraha;2019;4;2019-04-01;Kainuu;903
Sairauspäiväraha;2019;4;2019-04-01;Kanta-Häme;1717
Sairauspäiväraha;2019;4;2019-04-01;Keski-Pohjanmaa;828
Sairauspäiväraha;2019;4;2019-04-01;Keski-Suomi;2833
Sairauspäiväraha;2019;4;2019-04-01;Kymenlaakso;1918
Sairauspäiväraha;2019;4;2019-04-01;Lappi;2269
Sairauspäiväraha;2019;4;2019-04-01;Pirkanmaa;5198
Sairauspäiväraha;2019;4;2019-04-01;Pohjanmaa;1816
Sairauspäiväraha;2019;4;2019-04-01;Pohjois-Karjala;1638
Sairauspäiväraha;2019;4;2019-04-01;Pohjois-Pohjanmaa;5118
Sairauspäiväraha;2019;4;2019-04-01;Pohjois-Savo;3001
Sairauspäiväraha;2019;4;2019-04-01;Päijät-Häme;2192
Sairauspäiväraha;2019;4;2019-04-01;Satakunta;2364
Sairauspäiväraha;2019;4;2019-04-01;Uusimaa;14463
Sairauspäiväraha;2019;4;2019-04-01;Varsinais-Suomi;5216
Sairauspäiväraha;2019;5;2019-05-01;Etelä-Karjala;1406
Sairauspäiväraha;2019;5;2019-05-01;Etelä-Pohjanmaa;2329
Sairauspäiväraha;2019;5;2019-05-01;Etelä-Savo;1495
Sairauspäiväraha;2019;5;2019-05-01;Kainuu;1122
Sairauspäiväraha;2019;5;2019-05-01;Kanta-Häme;1986
Sairauspäiväraha;2019;5;2019-05-01;Keski-Pohjanmaa;922
Sairauspäiväraha;2019;5;2019-05-01;Keski-Suomi;3075
Sairauspäiväraha;2019;5;2019-05-01;Kymenlaakso;1942
Sairauspäiväraha;2019;5;2019-05-01;Lappi;2617
Sairauspäiväraha;2019;5;2019-05-01;Pirkanmaa;5877
Sairauspäiväraha;2019;5;2019-05-01;Pohjanmaa;1864
Sairauspäiväraha;2019;5;2019-05-01;Pohjois-Karjala;1893
Sairauspäiväraha;2019;5;2019-05-01;Pohjois-Pohjanmaa;5971
Sairauspäiväraha;2019;5;2019-05-01;Pohjois-Savo;3274
Sairauspäiväraha;2019;5;2019-05-01;Päijät-Häme;2200
Sairauspäiväraha;2019;5;2019-05-01;Satakunta;2505
Sairauspäiväraha;2019;5;2019-05-01;Uusimaa;14464
Sairauspäiväraha;2019;5;2019-05-01;Varsinais-Suomi;5451
Sairauspäiväraha;2019;6;2019-06-01;Etelä-Karjala;1115
Sairauspäiväraha;2019;6;2019-06-01;Etelä-Pohjanmaa;1943
Sairauspäiväraha;2019;6;2019-06-01;Etelä-Savo;1337
Sairauspäiväraha;2019;6;2019-06-01;Kainuu;843
Sairauspäiväraha;2019;6;2019-06-01;Kanta-Häme;1717
Sairauspäiväraha;2019;6;2019-06-01;Keski-Pohjanmaa;715
Sairauspäiväraha;2019;6;2019-06-01;Keski-Suomi;2623
Sairauspäiväraha;2019;6;2019-06-01;Kymenlaakso;1613
Sairauspäiväraha;2019;6;2019-06-01;Lappi;2027
Sairauspäiväraha;2019;6;2019-06-01;Pirkanmaa;4944
Sairauspäiväraha;2019;6;2019-06-01;Pohjanmaa;1482
Sairauspäiväraha;2019;6;2019-06-01;Pohjois-Karjala;1631
Sairauspäiväraha;2019;6;2019-06-01;Pohjois-Pohjanmaa;4502
Sairauspäiväraha;2019;6;2019-06-01;Pohjois-Savo;2897
Sairauspäiväraha;2019;6;2019-06-01;Päijät-Häme;1977
Sairauspäiväraha;2019;6;2019-06-01;Satakunta;1969
Sairauspäiväraha;2019;6;2019-06-01;Uusimaa;12020
Sairauspäiväraha;2019;6;2019-06-01;Varsinais-Suomi;4354
Sairauspäiväraha;2019;7;2019-07-01;Etelä-Karjala;1138
Sairauspäiväraha;2019;7;2019-07-01;Etelä-Pohjanmaa;1840
Sairauspäiväraha;2019;7;2019-07-01;Etelä-Savo;1239
Sairauspäiväraha;2019;7;2019-07-01;Kainuu;694
Sairauspäiväraha;2019;7;2019-07-01;Kanta-Häme;1589
Sairauspäiväraha;2019;7;2019-07-01;Keski-Pohjanmaa;555
Sairauspäiväraha;2019;7;2019-07-01;Keski-Suomi;2596
Sairauspäiväraha;2019;7;2019-07-01;Kymenlaakso;1545
Sairauspäiväraha;2019;7;2019-07-01;Lappi;1596
Sairauspäiväraha;2019;7;2019-07-01;Pirkanmaa;4818
Sairauspäiväraha;2019;7;2019-07-01;Pohjanmaa;1774
Sairauspäiväraha;2019;7;2019-07-01;Pohjois-Karjala;1410
Sairauspäiväraha;2019;7;2019-07-01;Pohjois-Pohjanmaa;3695
Sairauspäiväraha;2019;7;2019-07-01;Pohjois-Savo;2692
Sairauspäiväraha;2019;7;2019-07-01;Päijät-Häme;1747
Sairauspäiväraha;2019;7;2019-07-01;Satakunta;2224
Sairauspäiväraha;2019;7;2019-07-01;Uusimaa;11967
Sairauspäiväraha;2019;7;2019-07-01;Varsinais-Suomi;4871
Sairauspäiväraha;2019;8;2019-08-01;Etelä-Karjala;1417
Sairauspäiväraha;2019;8;2019-08-01;Etelä-Pohjanmaa;2095
Sairauspäiväraha;2019;8;2019-08-01;Etelä-Savo;1461
Sairauspäiväraha;2019;8;2019-08-01;Kainuu;1072
Sairauspäiväraha;2019;8;2019-08-01;Kanta-Häme;1883
Sairauspäiväraha;2019;8;2019-08-01;Keski-Pohjanmaa;937
Sairauspäiväraha;2019;8;2019-08-01;Keski-Suomi;2832
Sairauspäiväraha;2019;8;2019-08-01;Kymenlaakso;1935
Sairauspäiväraha;2019;8;2019-08-01;Lappi;2692
Sairauspäiväraha;2019;8;2019-08-01;Pirkanmaa;5641
Sairauspäiväraha;2019;8;2019-08-01;Pohjanmaa;1810
Sairauspäiväraha;2019;8;2019-08-01;Pohjois-Karjala;1702
Sairauspäiväraha;2019;8;2019-08-01;Pohjois-Pohjanmaa;6038
Sairauspäiväraha;2019;8;2019-08-01;Pohjois-Savo;3183
Sairauspäiväraha;2019;8;2019-08-01;Päijät-Häme;2055
Sairauspäiväraha;2019;8;2019-08-01;Satakunta;2404
Sairauspäiväraha;2019;8;2019-08-01;Uusimaa;13815
Sairauspäiväraha;2019;8;2019-08-01;Varsinais-Suomi;5310
Sairauspäiväraha;2019;9;2019-09-01;Etelä-Karjala;1321
Sairauspäiväraha;2019;9;2019-09-01;Etelä-Pohjanmaa;1961
Sairauspäiväraha;2019;9;2019-09-01;Etelä-Savo;1375
Sairauspäiväraha;2019;9;2019-09-01;Kainuu;924
Sairauspäiväraha;2019;9;2019-09-01;Kanta-Häme;1730
Sairauspäiväraha;2019;9;2019-09-01;Keski-Pohjanmaa;772
Sairauspäiväraha;2019;9;2019-09-01;Keski-Suomi;2603
Sairauspäiväraha;2019;9;2019-09-01;Kymenlaakso;1966
Sairauspäiväraha;2019;9;2019-09-01;Lappi;2209
Sairauspäiväraha;2019;9;2019-09-01;Pirkanmaa;4982
Sairauspäiväraha;2019;9;2019-09-01;Pohjanmaa;1558
Sairauspäiväraha;2019;9;2019-09-01;Pohjois-Karjala;1574
Sairauspäiväraha;2019;9;2019-09-01;Pohjois-Pohjanmaa;4909
Sairauspäiväraha;2019;9;2019-09-01;Pohjois-Savo;2798
Sairauspäiväraha;2019;9;2019-09-01;Päijät-Häme;2097
Sairauspäiväraha;2019;9;2019-09-01;Satakunta;2220
Sairauspäiväraha;2019;9;2019-09-01;Uusimaa;13314
Sairauspäiväraha;2019;9;2019-09-01;Varsinais-Suomi;4928
Sairauspäiväraha;2019;10;2019-10-01;Etelä-Karjala;1408
Sairauspäiväraha;2019;10;2019-10-01;Etelä-Pohjanmaa;2292
Sairauspäiväraha;2019;10;2019-10-01;Etelä-Savo;1407
Sairauspäiväraha;2019;10;2019-10-01;Kainuu;1002
Sairauspäiväraha;2019;10;2019-10-01;Kanta-Häme;1983
Sairauspäiväraha;2019;10;2019-10-01;Keski-Pohjanmaa;795
Sairauspäiväraha;2019;10;2019-10-01;Keski-Suomi;2644
Sairauspäiväraha;2019;10;2019-10-01;Kymenlaakso;1981
Sairauspäiväraha;2019;10;2019-10-01;Lappi;2376
Sairauspäiväraha;2019;10;2019-10-01;Pirkanmaa;5819
Sairauspäiväraha;2019;10;2019-10-01;Pohjanmaa;1794
Sairauspäiväraha;2019;10;2019-10-01;Pohjois-Karjala;1617
Sairauspäiväraha;2019;10;2019-10-01;Pohjois-Pohjanmaa;5444
Sairauspäiväraha;2019;10;2019-10-01;Pohjois-Savo;2858
Sairauspäiväraha;2019;10;2019-10-01;Päijät-Häme;2144
Sairauspäiväraha;2019;10;2019-10-01;Satakunta;2370
Sairauspäiväraha;2019;10;2019-10-01;Uusimaa;14262
Sairauspäiväraha;2019;10;2019-10-01;Varsinais-Suomi;5180
Sairauspäiväraha;2019;11;2019-11-01;Etelä-Karjala;1274
Sairauspäiväraha;2019;11;2019-11-01;Etelä-Pohjanmaa;2137
Sairauspäiväraha;2019;11;2019-11-01;Etelä-Savo;1535
Sairauspäiväraha;2019;11;2019-11-01;Kainuu;968
Sairauspäiväraha;2019;11;2019-11-01;Kanta-Häme;1822
Sairauspäiväraha;2019;11;2019-11-01;Keski-Pohjanmaa;763
Sairauspäiväraha;2019;11;2019-11-01;Keski-Suomi;2956
Sairauspäiväraha;2019;11;2019-11-01;Kymenlaakso;1975
Sairauspäiväraha;2019;11;2019-11-01;Lappi;2136
Sairauspäiväraha;2019;11;2019-11-01;Pirkanmaa;5507
Sairauspäiväraha;2019;11;2019-11-01;Pohjanmaa;1698
Sairauspäiväraha;2019;11;2019-11-01;Pohjois-Karjala;1680
Sairauspäiväraha;2019;11;2019-11-01;Pohjois-Pohjanmaa;4995
Sairauspäiväraha;2019;11;2019-11-01;Pohjois-Savo;3017
Sairauspäiväraha;2019;11;2019-11-01;Päijät-Häme;2149
Sairauspäiväraha;2019;11;2019-11-01;Satakunta;2277
Sairauspäiväraha;2019;11;2019-11-01;Uusimaa;14226
Sairauspäiväraha;2019;11;2019-11-01;Varsinais-Suomi;5204
Sairauspäiväraha;2019;12;2019-12-01;Etelä-Karjala;1230
Sairauspäiväraha;2019;12;2019-12-01;Etelä-Pohjanmaa;1931
Sairauspäiväraha;2019;12;2019-12-01;Etelä-Savo;1469
Sairauspäiväraha;2019;12;2019-12-01;Kainuu;1020
Sairauspäiväraha;2019;12;2019-12-01;Kanta-Häme;1749
Sairauspäiväraha;2019;12;2019-12-01;Keski-Pohjanmaa;846
Sairauspäiväraha;2019;12;2019-12-01;Keski-Suomi;2738
Sairauspäiväraha;2019;12;2019-12-01;Kymenlaakso;1867
Sairauspäiväraha;2019;12;2019-12-01;Lappi;2270
Sairauspäiväraha;2019;12;2019-12-01;Pirkanmaa;5363
Sairauspäiväraha;2019;12;2019-12-01;Pohjanmaa;1651
Sairauspäiväraha;2019;12;2019-12-01;Pohjois-Karjala;1642
Sairauspäiväraha;2019;12;2019-12-01;Pohjois-Pohjanmaa;5292
Sairauspäiväraha;2019;12;2019-12-01;Pohjois-Savo;2954
Sairauspäiväraha;2019;12;2019-12-01;Päijät-Häme;1997
Sairauspäiväraha;2019;12;2019-12-01;Satakunta;2158
Sairauspäiväraha;2019;12;2019-12-01;Uusimaa;13660
Sairauspäiväraha;2019;12;2019-12-01;Varsinais-Suomi;4845
Sairauspäiväraha;2020;1;2020-01-01;Etelä-Karjala;1299
Sairauspäiväraha;2020;1;2020-01-01;Etelä-Pohjanmaa;2314
Sairauspäiväraha;2020;1;2020-01-01;Etelä-Savo;1446
Sairauspäiväraha;2020;1;2020-01-01;Kainuu;930
Sairauspäiväraha;2020;1;2020-01-01;Kanta-Häme;2011
Sairauspäiväraha;2020;1;2020-01-01;Keski-Pohjanmaa;881
Sairauspäiväraha;2020;1;2020-01-01;Keski-Suomi;2910
Sairauspäiväraha;2020;1;2020-01-01;Kymenlaakso;1989
Sairauspäiväraha;2020;1;2020-01-01;Lappi;2153
Sairauspäiväraha;2020;1;2020-01-01;Pirkanmaa;5930
Sairauspäiväraha;2020;1;2020-01-01;Pohjanmaa;1832
Sairauspäiväraha;2020;1;2020-01-01;Pohjois-Karjala;1690
Sairauspäiväraha;2020;1;2020-01-01;Pohjois-Pohjanmaa;5244
Sairauspäiväraha;2020;1;2020-01-01;Pohjois-Savo;3083
Sairauspäiväraha;2020;1;2020-01-01;Päijät-Häme;2074
Sairauspäiväraha;2020;1;2020-01-01;Satakunta;2322
Sairauspäiväraha;2020;1;2020-01-01;Uusimaa;14016
Sairauspäiväraha;2020;1;2020-01-01;Varsinais-Suomi;5514
Sairauspäiväraha;2020;2;2020-02-01;Etelä-Karjala;1053
Sairauspäiväraha;2020;2;2020-02-01;Etelä-Pohjanmaa;1849
Sairauspäiväraha;2020;2;2020-02-01;Etelä-Savo;1186
Sairauspäiväraha;2020;2;2020-02-01;Kainuu;815
Sairauspäiväraha;2020;2;2020-02-01;Kanta-Häme;1580
Sairauspäiväraha;2020;2;2020-02-01;Keski-Pohjanmaa;710
Sairauspäiväraha;2020;2;2020-02-01;Keski-Suomi;2260
Sairauspäiväraha;2020;2;2020-02-01;Kymenlaakso;1566
Sairauspäiväraha;2020;2;2020-02-01;Lappi;1892
Sairauspäiväraha;2020;2;2020-02-01;Pirkanmaa;4690
Sairauspäiväraha;2020;2;2020-02-01;Pohjanmaa;1582
Sairauspäiväraha;2020;2;2020-02-01;Pohjois-Karjala;1218
Sairauspäiväraha;2020;2;2020-02-01;Pohjois-Pohjanmaa;4496
Sairauspäiväraha;2020;2;2020-02-01;Pohjois-Savo;2440
Sairauspäiväraha;2020;2;2020-02-01;Päijät-Häme;1816
Sairauspäiväraha;2020;2;2020-02-01;Satakunta;1970
Sairauspäiväraha;2020;2;2020-02-01;Uusimaa;11452
Sairauspäiväraha;2020;2;2020-02-01;Varsinais-Suomi;4440
Sairauspäiväraha;2020;3;2020-03-01;Etelä-Karjala;1230
Sairauspäiväraha;2020;3;2020-03-01;Etelä-Pohjanmaa;2195
Sairauspäiväraha;2020;3;2020-03-01;Etelä-Savo;1395
Sairauspäiväraha;2020;3;2020-03-01;Kainuu;974
Sairauspäiväraha;2020;3;2020-03-01;Kanta-Häme;1714
Sairauspäiväraha;2020;3;2020-03-01;Keski-Pohjanmaa;816
Sairauspäiväraha;2020;3;2020-03-01;Keski-Suomi;2694
Sairauspäiväraha;2020;3;2020-03-01;Kymenlaakso;1765
Sairauspäiväraha;2020;3;2020-03-01;Lappi;2117
Sairauspäiväraha;2020;3;2020-03-01;Pirkanmaa;5490
Sairauspäiväraha;2020;3;2020-03-01;Pohjanmaa;1721
Sairauspäiväraha;2020;3;2020-03-01;Pohjois-Karjala;1559
Sairauspäiväraha;2020;3;2020-03-01;Pohjois-Pohjanmaa;5080
Sairauspäiväraha;2020;3;2020-03-01;Pohjois-Savo;2851
Sairauspäiväraha;2020;3;2020-03-01;Päijät-Häme;2062
Sairauspäiväraha;2020;3;2020-03-01;Satakunta;2175
Sairauspäiväraha;2020;3;2020-03-01;Uusimaa;12989
Sairauspäiväraha;2020;3;2020-03-01;Varsinais-Suomi;4986
Sairauspäiväraha;2020;4;2020-04-01;Etelä-Karjala;1537
Sairauspäiväraha;2020;4;2020-04-01;Etelä-Pohjanmaa;2340
Sairauspäiväraha;2020;4;2020-04-01;Etelä-Savo;1614
Sairauspäiväraha;2020;4;2020-04-01;Kainuu;1027
Sairauspäiväraha;2020;4;2020-04-01;Kanta-Häme;1997
Sairauspäiväraha;2020;4;2020-04-01;Keski-Pohjanmaa;905
Sairauspäiväraha;2020;4;2020-04-01;Keski-Suomi;3105
Sairauspäiväraha;2020;4;2020-04-01;Kymenlaakso;2229
Sairauspäiväraha;2020;4;2020-04-01;Lappi;2333
Sairauspäiväraha;2020;4;2020-04-01;Pirkanmaa;6214
Sairauspäiväraha;2020;4;2020-04-01;Pohjanmaa;2131
Sairauspäiväraha;2020;4;2020-04-01;Pohjois-Karjala;1764
Sairauspäiväraha;2020;4;2020-04-01;Pohjois-Pohjanmaa;5789
Sairauspäiväraha;2020;4;2020-04-01;Pohjois-Savo;3229
Sairauspäiväraha;2020;4;2020-04-01;Päijät-Häme;2497
Sairauspäiväraha;2020;4;2020-04-01;Satakunta;2674
Sairauspäiväraha;2020;4;2020-04-01;Uusimaa;16813
Sairauspäiväraha;2020;4;2020-04-01;Varsinais-Suomi;6333
Sairauspäiväraha;2020;5;2020-05-01;Etelä-Karjala;1224
Sairauspäiväraha;2020;5;2020-05-01;Etelä-Pohjanmaa;2248
Sairauspäiväraha;2020;5;2020-05-01;Etelä-Savo;1415
Sairauspäiväraha;2020;5;2020-05-01;Kainuu;988
Sairauspäiväraha;2020;5;2020-05-01;Kanta-Häme;1810
Sairauspäiväraha;2020;5;2020-05-01;Keski-Pohjanmaa;786
Sairauspäiväraha;2020;5;2020-05-01;Keski-Suomi;2915
Sairauspäiväraha;2020;5;2020-05-01;Kymenlaakso;1851
Sairauspäiväraha;2020;5;2020-05-01;Lappi;2203
Sairauspäiväraha;2020;5;2020-05-01;Pirkanmaa;5623
Sairauspäiväraha;2020;5;2020-05-01;Pohjanmaa;1745
Sairauspäiväraha;2020;5;2020-05-01;Pohjois-Karjala;1591
Sairauspäiväraha;2020;5;2020-05-01;Pohjois-Pohjanmaa;5316
Sairauspäiväraha;2020;5;2020-05-01;Pohjois-Savo;2964
Sairauspäiväraha;2020;5;2020-05-01;Päijät-Häme;2082
Sairauspäiväraha;2020;5;2020-05-01;Satakunta;2409
Sairauspäiväraha;2020;5;2020-05-01;Uusimaa;14426
Sairauspäiväraha;2020;5;2020-05-01;Varsinais-Suomi;5464
Sairauspäiväraha;2020;6;2020-06-01;Etelä-Karjala;1236
Sairauspäiväraha;2020;6;2020-06-01;Etelä-Pohjanmaa;2263
Sairauspäiväraha;2020;6;2020-06-01;Etelä-Savo;1391
Sairauspäiväraha;2020;6;2020-06-01;Kainuu;942
Sairauspäiväraha;2020;6;2020-06-01;Kanta-Häme;1912
Sairauspäiväraha;2020;6;2020-06-01;Keski-Pohjanmaa;719
Sairauspäiväraha;2020;6;2020-06-01;Keski-Suomi;2752
Sairauspäiväraha;2020;6;2020-06-01;Kymenlaakso;1891
Sairauspäiväraha;2020;6;2020-06-01;Lappi;2003
Sairauspäiväraha;2020;6;2020-06-01;Pirkanmaa;5805
Sairauspäiväraha;2020;6;2020-06-01;Pohjanmaa;1601
Sairauspäiväraha;2020;6;2020-06-01;Pohjois-Karjala;1611
Sairauspäiväraha;2020;6;2020-06-01;Pohjois-Pohjanmaa;4836
Sairauspäiväraha;2020;6;2020-06-01;Pohjois-Savo;2835
Sairauspäiväraha;2020;6;2020-06-01;Päijät-Häme;2090
Sairauspäiväraha;2020;6;2020-06-01;Satakunta;2206
Sairauspäiväraha;2020;6;2020-06-01;Uusimaa;13843
Sairauspäiväraha;2020;6;2020-06-01;Varsinais-Suomi;5061
Sairauspäiväraha;2020;7;2020-07-01;Etelä-Karjala;1065
Sairauspäiväraha;2020;7;2020-07-01;Etelä-Pohjanmaa;1961
Sairauspäiväraha;2020;7;2020-07-01;Etelä-Savo;1272
Sairauspäiväraha;2020;7;2020-07-01;Kainuu;887
Sairauspäiväraha;2020;7;2020-07-01;Kanta-Häme;1618
Sairauspäiväraha;2020;7;2020-07-01;Keski-Pohjanmaa;713
Sairauspäiväraha;2020;7;2020-07-01;Keski-Suomi;2738
Sairauspäiväraha;2020;7;2020-07-01;Kymenlaakso;1527
Sairauspäiväraha;2020;7;2020-07-01;Lappi;1880
Sairauspäiväraha;2020;7;2020-07-01;Pirkanmaa;4934
Sairauspäiväraha;2020;7;2020-07-01;Pohjanmaa;1409
Sairauspäiväraha;2020;7;2020-07-01;Pohjois-Karjala;1543
Sairauspäiväraha;2020;7;2020-07-01;Pohjois-Pohjanmaa;4712
Sairauspäiväraha;2020;7;2020-07-01;Pohjois-Savo;2861
Sairauspäiväraha;2020;7;2020-07-01;Päijät-Häme;1808
Sairauspäiväraha;2020;7;2020-07-01;Satakunta;1939
Sairauspäiväraha;2020;7;2020-07-01;Uusimaa;11817
Sairauspäiväraha;2020;7;2020-07-01;Varsinais-Suomi;4569
Sairauspäiväraha;2020;8;2020-08-01;Etelä-Karjala;1176
Sairauspäiväraha;2020;8;2020-08-01;Etelä-Pohjanmaa;1753
Sairauspäiväraha;2020;8;2020-08-01;Etelä-Savo;1236
Sairauspäiväraha;2020;8;2020-08-01;Kainuu;827
Sairauspäiväraha;2020;8;2020-08-01;Kanta-Häme;1562
Sairauspäiväraha;2020;8;2020-08-01;Keski-Pohjanmaa;670
Sairauspäiväraha;2020;8;2020-08-01;Keski-Suomi;2493
Sairauspäiväraha;2020;8;2020-08-01;Kymenlaakso;1742
Sairauspäiväraha;2020;8;2020-08-01;Lappi;1790
Sairauspäiväraha;2020;8;2020-08-01;Pirkanmaa;4846
Sairauspäiväraha;2020;8;2020-08-01;Pohjanmaa;1362
Sairauspäiväraha;2020;8;2020-08-01;Pohjois-Karjala;1472
Sairauspäiväraha;2020;8;2020-08-01;Pohjois-Pohjanmaa;4449
Sairauspäiväraha;2020;8;2020-08-01;Pohjois-Savo;2599
Sairauspäiväraha;2020;8;2020-08-01;Päijät-Häme;1922
Sairauspäiväraha;2020;8;2020-08-01;Satakunta;2076
Sairauspäiväraha;2020;8;2020-08-01;Uusimaa;12520
Sairauspäiväraha;2020;8;2020-08-01;Varsinais-Suomi;4976
Sairauspäiväraha;2020;9;2020-09-01;Etelä-Karjala;1168
Sairauspäiväraha;2020;9;2020-09-01;Etelä-Pohjanmaa;1899
Sairauspäiväraha;2020;9;2020-09-01;Etelä-Savo;1249
Sairauspäiväraha;2020;9;2020-09-01;Kainuu;884
Sairauspäiväraha;2020;9;2020-09-01;Kanta-Häme;1636
Sairauspäiväraha;2020;9;2020-09-01;Keski-Pohjanmaa;727
Sairauspäiväraha;2020;9;2020-09-01;Keski-Suomi;2528
Sairauspäiväraha;2020;9;2020-09-01;Kymenlaakso;1787
Sairauspäiväraha;2020;9;2020-09-01;Lappi;1865
Sairauspäiväraha;2020;9;2020-09-01;Pirkanmaa;5130
Sairauspäiväraha;2020;9;2020-09-01;Pohjanmaa;1592
Sairauspäiväraha;2020;9;2020-09-01;Pohjois-Karjala;1553
Sairauspäiväraha;2020;9;2020-09-01;Pohjois-Pohjanmaa;4510
Sairauspäiväraha;2020;9;2020-09-01;Pohjois-Savo;2641
Sairauspäiväraha;2020;9;2020-09-01;Päijät-Häme;1854
Sairauspäiväraha;2020;9;2020-09-01;Satakunta;2180
Sairauspäiväraha;2020;9;2020-09-01;Uusimaa;11949
Sairauspäiväraha;2020;9;2020-09-01;Varsinais-Suomi;4617
Sairauspäiväraha;2020;10;2020-10-01;Etelä-Karjala;1149
Sairauspäiväraha;2020;10;2020-10-01;Etelä-Pohjanmaa;1965
Sairauspäiväraha;2020;10;2020-10-01;Etelä-Savo;1346
Sairauspäiväraha;2020;10;2020-10-01;Kainuu;863
Sairauspäiväraha;2020;10;2020-10-01;Kanta-Häme;1641
Sairauspäiväraha;2020;10;2020-10-01;Keski-Pohjanmaa;755
Sairauspäiväraha;2020;10;2020-10-01;Keski-Suomi;2452
Sairauspäiväraha;2020;10;2020-10-01;Kymenlaakso;1650
Sairauspäiväraha;2020;10;2020-10-01;Lappi;1958
Sairauspäiväraha;2020;10;2020-10-01;Pirkanmaa;5166
Sairauspäiväraha;2020;10;2020-10-01;Pohjanmaa;1442
Sairauspäiväraha;2020;10;2020-10-01;Pohjois-Karjala;1526
Sairauspäiväraha;2020;10;2020-10-01;Pohjois-Pohjanmaa;4566
Sairauspäiväraha;2020;10;2020-10-01;Pohjois-Savo;2671
Sairauspäiväraha;2020;10;2020-10-01;Päijät-Häme;1846
